id,neo_list_id,name,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity,miss_distance_km,miss_distance_miles,orbiting_body
2533990,2533990,533990 (2014 QX266),22.41,87.6102614968,195.9025002333,False,2024-06-23,8.606439997,47329864.4377939,29409414.028995663,Earth
3423023,3423023,(2008 PE1),24.1,40.2304579834,89.9580388169,False,2024-06-23,12.7362860094,36470416.72134352,22661666.115221854,Earth
3428698,3428698,(2008 TD),25.4,22.1082810359,49.435619262,False,2024-06-23,10.4286852945,14911172.853376515,9265373.170025308,Earth
3740499,3740499,(2016 AK193),22.08,101.9893858518,228.0551997482,False,2024-06-23,15.7233221419,60929399.08545901,37859773.01070199,Earth
3785931,3785931,(2017 TA6),27.1,10.1054341542,22.5964377109,False,2024-06-23,5.5976151155,44005278.61229419,27343612.1895343,Earth
54034191,54034191,(2020 NR),21.48,134.4481951604,300.6353038309,False,2024-06-23,18.0765506779,39400634.137927935,24482418.788464077,Earth
54159409,54159409,(2021 LM6),25.11,25.2670754154,56.4988982214,False,2024-06-23,9.5995995792,44647828.541158654,27742874.20130519,Earth
54225004,54225004,(2021 WD3),25.55,20.63264836,46.1360042888,False,2024-06-23,5.6034862358,22903044.987417363,14231292.241391141,Earth
54331631,54331631,(2022 WG13),23.09,64.0552862945,143.2319744727,False,2024-06-23,12.7016821,23631702.70226448,14684059.150316598,Earth
54418498,54418498,(2024 AC),25.5,21.113244479,47.2106498806,False,2024-06-23,5.2540788422,47306851.513215855,29395114.460742652,Earth
54425952,54425952,(2024 CC2),24.28,37.0301078223,82.8018383048,False,2024-06-23,10.5663589886,55838976.18896882,34696730.895034835,Earth
54445306,54445306,(2024 KN1),25.65,19.7040262138,44.0595420444,False,2024-06-23,4.581659971,5611297.188353137,3486698.3924898105,Earth
54446791,54446791,(2024 LD4),24.77,29.5498293111,66.0754270632,False,2024-06-23,5.4488615956,16585563.28959977,10305791.142272,Earth
54455373,54455373,(2024 MO1),23.47,53.7718497693,120.23751136,False,2024-06-23,21.4968256265,9917668.014070494,6162553.142557058,Earth
54458184,54458184,(2024 MP2),24.75,29.8232505153,66.6868154623,False,2024-06-23,12.7570242622,4691633.885476172,2915246.1146762935,Earth
54458175,54458175,(2024 NQ),24.23,37.8926498379,84.7305408852,False,2024-06-23,6.4291263938,20273420.345501725,12597319.257238831,Earth
54458197,54458197,(2024 MS2),25.93,17.3202827141,38.7293295383,False,2024-06-23,10.9044721556,2250044.191886855,1398112.629494399,Earth
54465273,54465273,(2024 OD2),21.66,123.7527836584,276.719636665,False,2024-06-23,8.1813084809,71746507.17890817,44581212.30268984,Earth
54489666,54489666,(2024 TM7),25.16,24.6919265606,55.212826285,False,2024-06-23,6.0629025045,51396458.271576986,31936278.26505689,Earth
54514249,54514249,(2025 AG1),29.49,3.3616692116,7.516920875,False,2024-06-23,2.3134900708,15021442.505498393,9333891.55461413,Earth
